lookupVariable,lookupValue,newVariable,newValue,source
Relationship,1,Relation,Head,tattva_gb
Relationship,2,Relation,Wife/Husband,tattva_gb
Relationship,3,Relation,Son/Daughter,tattva_gb
Relationship,4,Relation,Daugther/Son-in-law,tattva_gb
Relationship,5,Relation,Grandchild,tattva_gb
Relationship,6,Relation,Father/Mother,tattva_gb
Relationship,7,Relation,Brother/Sister,tattva_gb
Relationship,8,Relation,Father/Mother-in-law,tattva_gb
Relationship,9,Relation,Nephew/Niece,tattva_gb
Relationship,10,Relation,Brother/Sister-in-law,tattva_gb
Relationship,11,Relation,Other relatives,tattva_gb
Relationship,12,Relation,Servant/Others,tattva_gb
Sex,1,Gender,Male,tattva_gb
Sex,2,Gender,Female,tattva_gb
Sex,3,Gender,Transgender,tattva_gb
Marital Status,1,Marital.Status,Married,tattva_gb
Marital Status,2,Marital.Status,Unmarried,tattva_gb
Marital Status,3,Marital.Status,Widowed,tattva_gb
Marital Status,4,Marital.Status,Separated or Divorced,tattva_gb
Marital Status,5,Marital.Status,Married but No Gauna,tattva_gb
Read or Write,1,Read.Write,Yes,tattva_gb
Read or Write,2,Read.Write,No,tattva_gb
Currently Studying,1,Currently.Studying,Yes,tattva_gb
Currently Studying,2,Currently.Studying,No,tattva_gb
Years of Education,0,Years.of.Education,Never attended school,tattva_gb
Years of Education,1,Years.of.Education,1 Class,tattva_gb
Years of Education,2,Years.of.Education,2 Class,tattva_gb
Years of Education,3,Years.of.Education,3 Class,tattva_gb
Years of Education,4,Years.of.Education,4 Class,tattva_gb
Years of Education,5,Years.of.Education,5 Class,tattva_gb
Years of Education,6,Years.of.Education,6 Class,tattva_gb
Years of Education,7,Years.of.Education,7 Class,tattva_gb
Years of Education,8,Years.of.Education,8 Class,tattva_gb
Years of Education,9,Years.of.Education,9 Class,tattva_gb
Years of Education,10,Years.of.Education,10 Class,tattva_gb
Years of Education,11,Years.of.Education,11 Class,tattva_gb
Years of Education,12,Years.of.Education,12 Class,tattva_gb
Years of Education,13,Years.of.Education,13 Class,tattva_gb
Years of Education,14,Years.of.Education,14 Class,tattva_gb
Years of Education,15,Years.of.Education,Graduation,tattva_gb
Years of Education,16,Years.of.Education,16 Class,tattva_gb
Years of Education,17,Years.of.Education,Post Graduation,tattva_gb
